Symbol,Company,MarketCap,TrailingPE,ForwardPE,EPS,DebtToEquity,,,,,,,,,,,
DPZ,"Domino's Pizza, Inc.",13.86B,23.987133,23.252834,17.1,,,,,,,,,,,,
DRI,"Darden Restaurants, Inc.",20.71B,19.084673,16.861742,9.33,361.727,,,,,,,,,,,
DTE,DTE Energy Company,28.40B,20.502249,18.966713,6.67,207.975,,,,,,,,,,,
DUK,Duke Energy Corporation,96.16B,19.443396,19.504732,6.36,170.344,,,,,,,,,,,
DVA,DaVita Inc.,8.73B,12.777892,10.975155,9.68,953.093,,,,,,,,,,,
DVN,Devon Energy Corporation,21.14B,7.948114,7.556054,4.24,55.694,,,,,,,,,,,
DXCM,"DexCom, Inc.",21.45B,30.555557,27.093596,1.8,94.479,,,,,,,,,,,
EA,Electronic Arts Inc.,50.03B,58.483967,23.517,3.43,36.65,,,,,,,,,,,
EBAY,eBay Inc.,37.88B,18.58093,16.05364,4.51,151.155,,,,,,,,,,,
ECL,Ecolab Inc.,72.55B,36.90634,34.15067,6.94,103.915,,,,,,,,,,,
ED,"Consolidated Edison, Inc.",35.56B,17.223776,17.530249,5.72,110.373,,,,,,,,,,,
EFX,Equifax Inc.,25.41B,39.241966,22.060574,5.29,94.824,,,,,,,,,,,
EG,"Everest Group, Ltd.",13.69B,24.26637,4.9065747,13.44,23.337,,,,,,,,,,,
EIX,Edison International,21.95B,7.475754,10.007018,7.63,204.02,,,,,,,,,,,
EL,The Estée Lauder Companies Inc.,31.62B,,32.5,-2.59,242.211,,,,,,,,,,,
ELV,"Elevance Health, Inc.",70.62B,12.954749,9.092418,24.53,72.823,,,,,,,,,,,
EME,"EMCOR Group, Inc.",29.07B,26.10937,29.105335,24.87,12.915,,,,,,,,,,,
EMR,Emerson Electric Co.,72.88B,32.13151,20.488924,4.03,64.617,,,,,,,,,,,
EOG,"EOG Resources, Inc.",57.55B,10.224054,9.530742,10.31,26.835,,,,,,,,,,,
EPAM,"EPAM Systems, Inc.",9.68B,26.72256,15.665774,6.56,4.165,,,,,,,,,,,
EQIX,"Equinix, Inc.",80.98B,75.73462,61.640507,10.89,147.969,,,,,,,,,,,
EQR,Equity Residential,23.41B,19.641447,35.33136,3.04,76.237,,,,,,,,,,,
