Symbol,Security,Sector,Headquarters
ECL,Ecolab,Materials,"Saint Paul, Minnesota"
EIX,Edison International,Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,"Irvine, California"
EA,Electronic Arts,Communication Services,"Redwood City, California"
EMR,Emerson Electric,Industrials,"Ferguson, Missouri"
ENPH,Enphase Energy,Information Technology,"Fremont, California"
ETR,Entergy,Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,Energy,"Houston, Texas"
EFX,Equifax,Industrials,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,"Redwood City, California"
EQR,Equity Residential,Real Estate,"Chicago, Illinois"
ESS,Essex Property Trust,Real Estate,"San Mateo, California"
EL,Est‚e Lauder Companies,Consumer Staples,"New York City, New York"
ETSY,Etsy,Consumer Discretionary,"New York City, New York"
EVRG,Evergy,Utilities,"Kansas City , Missouri"
ES,Eversource Energy,Utilities,"Hartford, Connecticut"
RE,Everest Re,Financials,"Hamilton, Bermuda"
EXC,Exelon,Utilities,"Chicago, Illinois"
EXPE,Expedia Group,Consumer Discretionary,"Seattle, Washington"
EXPD,Expeditors,Industrials,"Seattle, Washington"
EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah"
XOM,ExxonMobil,Energy,"Irving, Texas"
FFIV,F5,Information Technology,"Seattle, Washington"
FAST,Fastenal,Industrials,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Real Estate,"Rockville, Maryland"
FDX,FedEx,Industrials,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Information Technology,"Jacksonville , Florida"
FITB,Fifth Third Bancorp,Financials,"Cincinnati, Ohio"
FE,FirstEnergy,Utilities,"Akron, Ohio"
FRC,First Republic Bank,Financials,"San Francisco, California"
FISV,Fiserv,Information Technology,"Brookfield, Wisconsin"
FLT,Fleetcor,Information Technology,"Norcross, Georgia"
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania"
F,Ford,Consumer Discretionary,"Dearborn, Michigan"
FTNT,Fortinet,Information Technology,"Sunnyvale, California"
FTV,Fortive,Industrials,"Everett, Washington"
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois"
FOXA,Fox Corporation (Class A),Communication Services,"New York City, New York"
FOX,Fox Corporation (Class B),Communication Services,"New York City, New York"
BEN,Franklin Resources,Financials,"San Mateo, California"
FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona"
GPS,Gap,Consumer Discretionary,"San Francisco, California"
GRMN,Garmin,Consumer Discretionary,"Schaffhausen, Switzerland"
IT,Gartner,Information Technology,"Stamford, Connecticut"
GNRC,Generac Holdings,Industrials,"Waukesha, Wisconsin"
GD,General Dynamics,Industrials,"Falls Church, Virginia"
GE,General Electric,Industrials,"Boston, Massachusetts"
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,"Detroit, Michigan"
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,"Foster City, California"
GL,Globe Life,Financials,"McKinney, Texas"
GPN,Global Payments,Information Technology,"Atlanta, Georgia"
GS,Goldman Sachs,Financials,"New York City, New York"
GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois"
HAL,Halliburton,Energy,"Houston, Texas"
HBI,Hanesbrands,Consumer Discretionary,"Winston-Salem, North Carolina"
HIG,The Hartford,Financials,"Hartford, Connecticut"
HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island"
HCA,HCA Healthcare,Health Care,"Nashville , Tennessee"
PEAK,Healthpeak Properties,Real Estate,"Long Beach, California"
HSIC,Henry Schein,Health Care,"Melville, New York"
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania"
HES,Hess Corporation,Energy,"New York City, New York"
HPE,Hewlett Packard Enterprise,Information Technology,"Houston, Texas"
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia"
HOLX,Hologic,Health Care,"Marlborough, Massachusetts"
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia"
HON,Honeywell,Industrials,"Charlotte, North Carolina"
HRL,Hormel,Consumer Staples,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland"
HWM,Howmet Aerospace,Industrials,"Pittsburgh, Pennsylvania"
HPQ,HP,Information Technology,"Palo Alto, California"
HUM,Humana,Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio ; Detroit, Michigan"
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia"
IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois"
IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine"
INFO,IHS Markit,Industrials,"London, England"
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois"
ILMN,Illumina,Health Care,"San Diego, California"
INCY,Incyte,Health Care,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrials,"Milwaukee, Wisconsin"
INTC,Intel,Information Technology,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia"
IBM,IBM,Information Technology,"Armonk, New York"
IP,International Paper,Materials,"Memphis, Tennessee"
IPG,Interpublic Group,Communication Services,"New York City, New York"
IFF,International Flavors & Fragrances,Materials,"New York City, New York"
INTU,Intuit,Information Technology,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California"
IVZ,Invesco,Financials,"Atlanta, Georgia"
IPGP,IPG Photonics,Information Technology,"Oxford, Massachusetts"
IQV,IQVIA,Health Care,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,"Boston, Massachusetts"
JKHY,Jack Henry & Associates,Information Technology,"Monett, Missouri"
J,Jacobs Engineering Group,Industrials,"Dallas, Texas"
JBHT,J. B. Hunt,Industrials,"Lowell, Arkansas"
SJM,JM Smucker,Consumer Staples,"Orrville, Ohio"
JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey"
JCI,Johnson Controls,Industrials,"Cork, Ireland"
JPM,JPMorgan Chase,Financials,"New York City, New York"
JNPR,Juniper Networks,Information Technology,"Sunnyvale, California"
KSU,Kansas City Southern,Industrials,"Kansas City , Missouri"
K,Kellogg's,Consumer Staples,"Battle Creek, Michigan"
KEY,KeyCorp,Financials,"Cleveland, Ohio"
KEYS,Keysight Technologies,Information Technology,"Santa Rosa, California"
KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas"
KIM,Kimco Realty,Real Estate,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,"Houston, Texas"
KLAC,KLA Corporation,Information Technology,"Milpitas, California"
KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois ; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,"Cincinnati, Ohio"
LHX,L3Harris Technologies,Industrials,"Melbourne, Florida"
LH,LabCorp,Health Care,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,"Fremont, California"
LW,Lamb Weston,Consumer Staples,"Eagle, Idaho"
LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada"
LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri"
LDOS,Leidos,Industrials,"Reston, Virginia"
LEN,Lennar,Consumer Discretionary,"Miami, Florida"
LLY,Eli Lilly,Health Care,"Indianapolis, Indiana"
LNC,Lincoln National,Financials,"Radnor, Pennsylvania"
LIN,Linde,Materials,"Guildford, England"
LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California"
LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois"
LMT,Lockheed Martin,Industrials,"Bethesda, Maryland"
L,Loews Corporation,Financials,"New York City, New York"
LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina"
LUMN,Lumen Technologies,Communication Services,"Monroe, Louisiana"
LYB,LyondellBasell,Materials,"Rotterdam, Netherlands"
MTB,M&T Bank,Financials,"Buffalo, New York"
MRO,Marathon Oil,Energy,"Houston, Texas"
MPC,Marathon Petroleum,Energy,"Findlay, Ohio"
MKTX,MarketAxess,Financials,"New York City, New York"
MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland"
MMC,Marsh & McLennan,Financials,"New York City, New York"
MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina"
MAS,Masco,Industrials,"Livonia, Michigan"
MA,Mastercard,Information Technology,"Harrison, New York"
MTCH,Match Group,Communication Services,"Dallas, Texas"
MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland"
MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois"
MCK,McKesson Corporation,Health Care,"Irving, Texas"
MDT,Medtronic,Health Care,"Dublin , Ireland"
MRK,Merck,Health Care,"Kenilworth, New Jersey"
