"Symbol","Company","Sector","MarketCap","EnterpriseValue","TrailingPE","ForwardPE","PEGRatio","PriceToBook","PriceToSales","EnterpriseToRevenue","EnterpriseToEBITDA","ROE","ROA","ProfitMargin","GrossMargin","OperatingMargin","EBITDAMargin","RevenueGrowth","EarningsGrowth","QuarterlyEarningsGrowth","revenue","ebitda","net_income","gross_profits","OperatingCashFlow","FreeCashFlow","TotalCash","TotalDebt","CurrentRatio","QuickRatio","DebtToEquity","TrailingEPS","EPS","BookValue","CashPerShare","dividend_yield","DividendRate","PayoutRatio","ExDividendDate","DividendDate","FiveYearAvgDividendYield","SharesOutstanding","FloatShares","SharesShort","ShortRatio","ShortPercentOfFloat","InsiderOwnership","InstitutionalOwnership","CurrentPrice","PreviousClose","Open","DayHigh","DayLow","FiftyTwoWeekHigh","FiftyTwoWeekLow","FiftyDayAverage","TwoHundredDayAverage","Volume","AverageVolume","AverageVolume10Day","Beta","TargetMeanPrice","TargetHighPrice","TargetLowPrice","NumberOfAnalysts","Recommendation","RecommendationMean","LastUpdated","start_price","end_price","return_45d","vol_45d","avg_volume","vol_spike","n_days","z_return","z_vol","z_volume","anomaly_score","category","market_context"
"CAG","Conagra Brands, Inc.","Consumer Defensive",8247089664,15824390144,NA,9.497106,NA,1.0193342,0.7340861,1.409,8.092,-0.0116,0.048460003,-0.008719999,0.24620001,0.1383,0.17406,-0.068,NA,NA,11234499584,1955500032,-9.8e+07,2765900032,1268899968,877374976,46600000,7623900160,0.891,0.244,94.229,-0.21,1.81529,16.913,0.097,8.12,1.4,0.791,1769472000,1772064000,4.38,478369475,474963484,28592947,3,0.0773,0.00642,0.89747,17.24,17.08,17.06,17.27,17.02,28.52,16.6,17.565,20.50875,6875864,10871319,9884560,-0.016,19.10588,23,17,17,"hold",3,"2025-12-27 20:43:40",17.2900009155273,17.9200000762939,3.6437196495509,1.2768980921855,9572296.875,1.49267205004024,32,0.133282420314292,-0.710063679766061,-0.848142721298216,0.91238562084643,"NORMAL","OUTPERFORMING_MARKET"
"CAH","Cardinal Health, Inc.","Healthcare",49488670720,54075670528,31.463745,18.790665,NA,-17.218317,0.21121025,0.231,15.258,NA,0.03438,0.00681,0.03664,0.01205,0.01513,0.224,0.106,0.082,234309992448,3.544e+09,1595000064,8584999936,5016999936,4700624896,4592999936,9031999488,0.957,0.456,NA,6.62,11.08476,-12.097,19.331,0.98,2.04,0.3066,1767312000,1768435200,2.5,237595042,237098468,4904967,2.06,0.0238,0.00262,0.90791,208.29,207.54,207.7,208.44,207.125,214.93,117.53,194.1088,161.17775,577017,2447730,2174130,0.635,216.6,243,167,15,"buy",1.76471,"2025-12-27 20:43:44",190.220001220703,198.440002441406,4.32131277886267,1.08071889715682,2513134.375,2.05770930971409,32,0.200342029757771,-0.949436889468157,-0.157514404118622,0.75381767655116,"NORMAL","OUTPERFORMING_MARKET"
"CARR","Carrier Global Corporation","Industrials",45606313984,56381022208,33.493748,18.193918,NA,3.1171477,2.0675633,2.556,15.447,0.0998,0.03812,0.18052,0.2736,0.09554,0.16547,-0.068,0.005,-0.043,22058000384,3649999872,1379000064,6034999808,1604999936,2499749888,1423000064,12339999744,1.141,0.655,83.159,1.6,2.94549,17.192,1.69,1.79,0.96,0.5406,1768867200,1770595200,1.21,842209781,790043307,11112207,1.29,0.0161,0.06093,0.8714,53.59,53.5,53.4,53.65,53.22,81.09,50.3,55.1022,64.0721,1719849,7021763,6693970,1.298,71.9425,90,59,20,"buy",2,"2025-12-27 20:43:46",57.8600006103516,52.4000015258789,-9.43656935167032,1.72622186535247,7628856.25,2.16665506051448,32,-1.16123937142916,-0.161809448410351,-0.0243532377513467,1.25432071451001,"NORMAL","DOWN_WHILE_MARKET_UP"
"CAT","Caterpillar Inc.","Industrials",273123213312,307734118400,29.943504,26.091,NA,13.207076,4.223272,4.758,22.047,0.46283,0.08201,0.14339,0.3012,0.17746,0.21583,0.095,-0.036,-0.067,64670998528,13957999616,9272999936,19478999040,11541000192,6289375232,6632999936,41534001152,1.384,0.784,201.046,19.47,22.34487,44.143,14.174,1.04,6.04,0.29479998,1768867200,1771459200,1.83,467979596,466599056,7123267,2.75,0.0152,0.0021,0.74174005,583,583.76,583.21,583.8299,578.65,627.5,267.3,566.612,431.08154,759964,2786485,2814460,1.563,591.9904,730,380,25,"buy",2.17857,"2025-12-27 20:43:50",570.590026855469,561.890014648438,-1.52473961996443,2.05866699482773,2603796.875,1.78719778208506,32,-0.378226396769289,0.243832228734291,-0.488152637094545,0.744218829683707,"NORMAL","DOWN_WHILE_MARKET_UP"
"CB","Chubb Limited","Financial Services",124977446912,146790383616,13.104933,11.942461,NA,1.7202548,2.1239495,2.495,11.583,0.1364,0.029679999,0.16442,0.29035,0.25623,0.21537,0.091,0.226,0.205,58842001408,12673000448,9674999808,17084999680,13320999936,12573875200,6621000192,24088999936,0.38,0.176,30.958,23.92,26.24836,182.223,16.824,1.24,3.88,0.1571,1765497600,1767312000,1.54,393550859,360343038,3507695,1.92,0.0089,0.085439995,0.82585996,313.47,313.32,313.84,314.68,312.445,314.68,252.16,293.0146,285.30444,511802,1817726,1960770,0.522,311.08698,364,267,23,"hold",2.58333,"2025-12-27 20:43:53",278.25,312.959991455078,12.474390460046,1.00058473252246,1781943.75,1.74017838666344,32,1.00723067931923,-1.04721470017086,-0.545623052326235,1.80364955556778,"NORMAL","OUTPERFORMING_MARKET"
"CBOE","Cboe Global Markets, Inc.","Financial Services",26804690944,26902392832,27.543009,23.456251,NA,5.4867725,5.804645,5.826,17.971,0.21621001,0.09729,0.21287,0.49428,0.32846,0.32418,0.081,0.377,0.377,4617800192,1496999936,978200000,2282500096,690099968,987800000,1496999936,1594700032,1.718,0.903,32.645,9.3,10.92033,46.685,14.306,1.12,2.88,0.28059998,1764288000,1765756800,1.36,104644514,104252097,2549419,2.87,0.0298,0.00227,0.89663005,256.15,255.96,256.66,256.91,254.69,262.98,187.3,250.1448,235.83905,199824,738219,703360,0.353,264.23077,310,220,13,"hold",3.0625,"2025-12-27 20:43:56",246.919998168945,252.259994506836,2.16264230418362,0.955527780873337,749843.75,2.0238883100646,32,-0.0132959082422476,-1.10219212595786,-0.198852810875627,0.66381837665899,"NORMAL","IN_LINE"
"CBRE","CBRE Group, Inc.","Real Estate",49016545280,57047375872,40.769806,22.364887,NA,5.6564445,1.2464474,1.451,21.535,0.14091,0.044299997,0.031229999,0.19296,0.04923,0.06736,0.135,0.658,0.613,39324999680,2648999936,1.228e+09,7587999744,1.678e+09,1347250048,1668999936,9676000256,1.127,0.883,104.121,4.04,7.36467,29.119,5.694,NA,NA,0,1713484800,NA,NA,297592997,290705580,2991129,2.12,0.012,0.00522,0.97976,164.71,164.94,164.9,165.345,164.25,171,108.45,157.6242,144.9919,337773,1481134,1536700,1.337,182.58333,200,127,12,"buy",1.76923,"2025-12-27 20:44:01",150.610000610352,160.009994506836,6.24128136139048,1.46035573381898,1445443.75,1.56104310527476,32,0.390356269451785,-0.486213008364539,-0.76457480429453,1.01575017578132,"NORMAL","OUTPERFORMING_MARKET"
"CCI","Crown Castle Inc.","Real Estate",38444085248,67962085376,NA,25.700146,NA,-25.72261,5.9881754,10.586,17.539,-2.06679,0.03974,-0.71931,0.71168,0.49254,0.60358,-0.043,0.066,0.066,6419999744,3875000064,-3929999872,4568999936,3.064e+09,1318125056,5.7e+07,29575000064,0.259,0.095,NA,-9.05,3.435,-3.432,0.131,4.81,4.25,2.2199001,1765756800,1767139200,4.7,435479010,434590633,11596490,4.27,0.0354,0.00122,0.98700994,88.28,87.85,87.92,88.6301,87.75,115.76,84.2,91.234,98.5466,1376154,2935212,2958680,0.959,113.17647,127,90,17,"buy",1.94444,"2025-12-27 20:44:05",89.5199966430664,88.25,-1.41867369380064,1.4499227967694,2876987.5,1.60417798130857,32,-0.367729331087662,-0.498943031177667,-0.711852322127291,0.973127007740141,"NORMAL","DOWN_WHILE_MARKET_UP"
"CCL","Carnival Corporation & plc","Consumer Cyclical",40278401024,66343399424,15.19802,10.922196,NA,3.2788637,1.5129743,2.492,9.17,0.25632998,0.05562,0.10366999,0.54763,0.115959994,0.27177,0.066,0.343,0.393,26621999104,7234999296,2.76e+09,14579000320,NA,NA,1.928e+09,27992999936,0.322,0.199,227.882,2.02,2.81079,9.363,1.47,0.49,0.15,0,1770940800,1772150400,4.21,1.167e+09,1214151040,42858060,2.15,0.0397,0.08315,0.76044,30.7,31.25,31.25,31.45,30.611,32.89,15.07,27.5584,26.09425,9064564,23204417,25835240,2.536,36.61304,43,26,23,"buy",1.65517,"2025-12-27 20:44:10",28.7099990844727,28.0300006866455,-2.36850720832995,3.03426052881697,20167046.875,2.13099122872942,32,-0.461731855265198,1.43422836407101,-0.0679440836791168,1.21281807914026,"NORMAL","DOWN_WHILE_MARKET_UP"
"CDNS","Cadence Design Systems, Inc.","Technology",86894338048,86351282176,81.97687,39.60102,NA,16.695812,16.669973,16.566,45.866,0.21736,0.11089,0.20354,0.85545,0.35089,0.36118,0.101,0.207,0.206,5212625920,1882690944,1060961984,4459140096,1616644992,1384099840,2930040064,2479141888,3.048,2.685,47.685,3.89,8.05257,19.1,10.764,NA,NA,0,NA,NA,NA,272201000,271112196,4007512,2.5,0.0167,0.00299,0.92089,318.89,317.76,318,319.295,317,376.45,221.56,323.6986,316.668,545523,1702403,1564350,1.051,382.9781,418,275,26,"buy",1.57692,"2025-12-27 20:44:12",335.410003662109,313.019989013672,-6.67541647654392,1.75727373274337,1752503.125,1.81340618151537,32,-0.887975335225333,-0.123920694898452,-0.456118886249557,1.17799512579934,"NORMAL","DOWN_WHILE_MARKET_UP"
"CDW","CDW Corporation","Technology",18310498304,23825055744,17.662455,13.219098,NA,7.1679244,0.8285631,1.078,12.088,0.43007,0.071,0.04757,0.21604,0.07953,0.08918,0.04,-0.056,-0.08,22099099648,1970899968,1051299968,4774300160,1116700032,931262528,452900000,6088600064,1.39,1.244,239.737,7.91,10.5688,19.491,3.479,1.8,2.52,0.3161,1764028800,1765324800,1.16,130193660,129724963,5119976,3.95,0.044699997,0.00379,0.99167997,139.71,138.71,138.46,139.95,138.01,222.92,135.63,146.6436,163.00215,723502,1608707,2651710,1.063,180.6,225,148,10,"buy",1.81818,"2025-12-27 20:44:17",154.830001831055,143.690002441406,-7.19498757211446,2.24751326762863,1564981.25,2.28622547394737,32,-0.939395919702733,0.474257980323398,0.121794139257549,1.23742197949321,"NORMAL","DOWN_WHILE_MARKET_UP"
"CE","Celanese Corporation","Basic Materials",4692284416,16881285120,NA,7.7119384,NA,1.1867175,0.48324245,1.739,11.586,-0.50508,0.02341,-0.31813,0.22101,0.09053001,0.15005,-0.086,NA,NA,9710000128,1456999936,-3068999936,2.146e+09,1.388e+09,657500032,1.44e+09,13203999744,1.634,0.841,301.53,-28.07,5.55632,36.108,13.15,0.28,0.12,0.2789,1761609600,1762905600,2.19,109504894,108924518,8131284,3.87,0.098500006,0.00441,1.03695,42.85,42.17,42.06,42.93,41.755,75.84,35.13,40.3496,47.52785,946800,2037841,1777690,1.121,51.3125,100,40,16,"buy",2.25,"2025-12-27 20:44:22",37.060001373291,40.9500007629395,10.4964901389669,3.98801980934326,2393538.70967742,2.245294792297,31,0.811483087863553,2.59798286020583,0.071765778640191,2.14635740728656,"HIGH_VOLATILITY","OUTPERFORMING_MARKET"
"CEG","Constellation Energy Corporation","Utilities",112609705984,117988081664,41.337154,31.540365,NA,7.8441014,4.5332193,4.75,19.837,0.19839,0.0388,0.11026,0.20131999,0.16332,0.23944001,0.003,-0.223,-0.225,24841000960,5948000256,2739000064,5000999936,2.416e+09,3059000064,3959000064,9036999680,1.563,1.144,61.51,8.72,11.42853,45.953,12.677,0.43,1.55,0.1736,1763337600,1764892800,NA,312290080,311521846,6324828,2.72,0.023,0.00262,0.85105,360.46,363.95,363.24,363.345,358.4,412.7,161.35,362.0479,310.2815,755597,2664530,2688600,1.138,403.30124,481,342.23,16,"buy",1.76471,"2025-12-27 20:44:27",377.709991455078,340.970001220703,-9.7270368974988,2.98185841498004,2648443.75,2.18063910173663,32,-1.18998618029814,1.37028854526155,-0.00726095809849324,1.87876093197816,"NORMAL","DOWN_WHILE_MARKET_UP"
"CF","CF Industries Holdings, Inc.","Basic Materials",12544804864,16484236288,9.365174,10.474907,NA,2.5186172,1.8623523,2.447,5.433,0.21967,0.09551,0.20472,0.36862,0.33936,0.45042,0.211,0.416,0.279,6.736e+09,3033999872,1379000064,2483000064,2632999936,1361750016,1.838e+09,3.396e+09,2.273,1.863,44.133,8.27,7.39386,30.751,11.784,2.58,2,0.24180001,1763078400,1764288000,2.1,155974644,154444533,12714568,5.11,0.09729999,0.0073900004,1.05767,77.45,77.57,77.95,78.0712,77.105,104.45,67.34,81.0048,85.07975,1053741,2327573,2333700,0.679,91.72222,110,80,18,"hold",2.65,"2025-12-27 20:44:30",84.4100036621094,79.0100021362305,-6.39734781613674,1.7724608624749,2552303.125,1.63601257197849,32,-0.860455611428376,-0.10538971871892,-0.672941844267549,1.24962139292161,"NORMAL","DOWN_WHILE_MARKET_UP"
"CFG","Citizens Financial Group, Inc.","Financial Services",25807611904,26135158784,16.759104,11.8988905,NA,1.0883723,3.467367,3.511,NA,0.067140006,0.0077,0.22894,0,0.32026002,0,0.136,0.364,0.293,7442999808,NA,1.566e+09,7442999808,2.852e+09,NA,13064999936,11393000448,NA,NA,NA,3.57,5.0282,54.972,30.42,3.08,1.84,0.4706,1761696000,1762905600,4.21,429486191,425380303,14298124,2.72,0.044,0.00733,0.98136,59.83,59.86,59.86,59.98,59.53,60.1,32.6,53.7702,47.11335,1629358,4691971,3921970,1.106,63.625,75,56,20,"buy",1.52381,"2025-12-27 20:44:33",51.0099983215332,58.6100006103516,14.8990443812858,1.49422024434589,4656800,2.19758203057894,32,1.24719229929476,-0.444892334280657,0.0134478823082596,1.47636240758922,"NORMAL","OUTPERFORMING_MARKET"
"CHD","Church & Dwight Co., Inc.","Consumer Defensive",20801746944,22600407040,26.936907,22.825874,NA,4.8547387,3.3873549,3.68,16.99,0.18594,0.07856,0.12742,0.44932,0.16057,0.21661,0.05,NA,NA,6141000192,1330200064,782499968,2759300096,1144300032,1012412480,305300000,2400999936,1.086,0.607,56.855,3.17,3.74093,17.589,1.271,1.38,1.18,0.3687,1763078400,1764547200,1.15,240130071,239479319,9492934,3.57,0.045300003,0.00195,0.90942,85.39,85.46,85.41,86.04,85.05,116.46,81.33,84.9226,93.6567,590153,2371017,2175920,0.454,97.05556,114,74,18,"buy",2.36364,"2025-12-27 20:44:35",86.2799987792969,86.5199966430664,0.278161644836605,1.22286109791685,2526828.125,1.66849496342376,32,-0.199798001538199,-0.775998340976439,-0.633239578695257,0.904416961374047,"NORMAL","UNDERPERFORMING_MARKET"
"CHRW","C.H. Robinson Worldwide, Inc.","Industrials",19448332288,20813914112,33.324898,27.464231,NA,10.4977045,1.1783451,1.261,23.892,0.34318,0.095790006,0.03636,0.08402,0.05578,0.05278,-0.109,0.675,0.676,16504784896,871163008,600065984,1386718976,877035008,741496256,136836992,1502418048,1.585,1.516,80.904,4.94,5.99416,15.682,1.158,1.53,2.52,0.50200003,1764892800,1767571200,2.36,118137178,117661085,6666126,4.93,0.0647,0.00811,1.01421,164.625,164.95,164.41,165.33,163.8001,167.9,84.68,150.5688,117.93555,447231,1575717,1646990,0.906,157.72,200,85,25,"buy",2.03846,"2025-12-27 20:44:37",152.149993896484,160.100006103516,5.2251150351283,1.43353336151072,1440121.875,1.55084096615087,32,0.289788961400758,-0.518941032099739,-0.777044576958434,0.937781765929844,"NORMAL","OUTPERFORMING_MARKET"
"CHTR","Charter Communications, Inc.","Communication Services",28296189952,128122445824,5.743277,4.825068,NA,1.7476104,0.5135518,2.325,5.799,0.31327,0.05546,0.092939995,0.55237,0.23858999,0.40098998,-0.009,-0.054,-0.112,55098998784,22094000128,5120999936,30435000320,1.5776e+10,2906874880,4.64e+08,97530003456,0.375,0.313,497.907,36.07,42.93411,118.539,3.586,NA,NA,0,NA,NA,NA,129409366,83990561,16486410,9.66,0.2483,0.37363997,0.86638,207.16,208.46,207.57,209.24,206.18,437.06,193,215.948,307.8698,769263,1941496,1900600,1.065,307.47058,479,200,17,"hold",2.71429,"2025-12-27 20:44:41",222.199996948242,209.660003662109,-5.64356141240361,2.16567901495412,1790328.125,1.67114617606759,32,-0.78585535405934,0.374405762439605,-0.629999079957619,1.28805777525795,"NORMAL","DOWN_WHILE_MARKET_UP"
"CI","The Cigna Group","Healthcare",73862963200,101203959808,12.240373,9.075719,NA,1.7633667,0.2755289,0.378,8.687,0.15538,0.0395,0.02293,0.09551,0.04,0.04346,0.095,1.654,1.528,268077006848,11649999872,6146999808,25604999168,8664000512,8630625280,6908000256,34040000512,0.828,0.687,81.021,22.59,30.46701,156.808,25.86,2.18,6.04,0.2625,1764806400,1766016000,1.49,267125816,265859640,4484017,2.59,0.0222,0.01592,0.90848,276.51,274.86,275.16,276.74,273.94,350,239.51,275.981,300.988,760227,1986685,1639950,0.263,324.91956,378,270,23,"buy",1.56,"2025-12-27 20:44:43",258.619995117188,273.839996337891,5.88508294333792,1.94375912003266,2159615.625,2.53730336851031,32,0.355104249078952,0.103624360077683,0.428679217779783,0.621256038007685,"NORMAL","OUTPERFORMING_MARKET"
"CINF","Cincinnati Financial Corporation","Financial Services",25769269248,24984291328,12.252045,19.232924,NA,1.6686581,2.133571,2.069,8.882,0.14529,0.04305,0.17569,0.23224,0.38272,0.23290001,0.122,0.367,0.368,12078000128,2812999936,2.122e+09,2804999936,2807000064,1700875008,1608999936,8.83e+08,1.118,0.929,5.732,13.45,8.56812,98.756,10.313,2.11,3.48,0.2545,1766361600,1768435200,2.41,156018513,153258546,2393014,4.56,0.0179,0.016,0.70579004,164.79,165.87,166.48,166.48,164.42,169.86,123.02,161.976,151.81635,266621,546611,554820,0.695,173.83333,186,157,6,"buy",2.125,"2025-12-27 20:44:45",153.660003662109,167.110000610352,8.75308904574732,1.01841249913759,536684.375,1.92086829433035,32,0.638943268084996,-1.02546168137669,-0.32477112667559,1.31405967211114,"NORMAL","OUTPERFORMING_MARKET"
"CL","Colgate-Palmolive Company","Consumer Defensive",64439447552,71596556288,22.333334,20.771189,NA,75.07533,3.2064214,3.563,14.879,2.93635,0.15337,0.1447,0.60148,0.2023,0.23944001,0.019,0.011,-0.003,20096999424,4812000256,2.908e+09,12088000512,4014000128,2739249920,1.472e+09,8418999808,0.93,0.505,680.048,3.57,3.83849,1.062,1.826,2.61,2.08,0.5714,1768953600,1770940800,2.3,806064942,755613337,13516071,2.22,0.0187,0.00162,0.86745,79.73,80.25,80.17,80.35,79.55,100.18,74.55,78.4198,85.4148,2515329,6584253,5763330,0.295,87.31579,95,77,19,"buy",2.14286,"2025-12-27 20:44:46",74.9800033569336,79.7300033569336,6.3350223890871,1.30572063869531,6521337.5,1.65979754919907,32,0.399633572355594,-0.674895090819455,-0.643870170655292,1.05901620309297,"NORMAL","OUTPERFORMING_MARKET"
"CLX","The Clorox Company","Consumer Defensive",12018725888,15090726912,15.467818,14.5825405,NA,-544.3646,1.7750298,2.229,12.319,4.43646,0.114630006,0.11682,0.44277,0.08328,0.18091999,-0.189,-0.187,-0.192,6770999808,1224999936,7.91e+08,2998000128,8.53e+08,861625024,1.66e+08,3078000128,0.759,0.389,2230.435,6.37,6.75671,-0.181,1.361,5.03,4.96,0.76919997,1769558400,1770940800,3.16,121980379,121572965,7039475,3.09,0.0664,0.00601,0.88888,98.53,98.21,98.17,98.6,97.82,164.22,96.66,106.4424,123.76535,1147669,2084260,2666790,0.568,122.41176,163,103,17,"hold",3.10526,"2025-12-27 20:44:50",109.139999389648,101.519996643066,-6.98186071943919,1.6653051691682,2378125,1.8226123521682,32,-0.918303315772646,-0.23613855903772,-0.444866456366786,1.2588058234749,"NORMAL","DOWN_WHILE_MARKET_UP"
"CMA","Comerica Incorporated","Financial Services",11362176000,12223598592,17,16.341288,NA,1.6120318,3.5133507,3.78,NA,0.096920006,0.00913,0.22171,0,0.29044,0,0.024,0.015,-0.043,3233999872,NA,6.9e+08,3233999872,1.25e+08,NA,5305999872,5779999744,NA,NA,NA,5.23,5.44082,55.154,41.537,3.19,2.84,0.543,1765756800,1767225600,4.5,127794131,126748805,7871296,5.5,0.080699995,0.00795,0.91489,88.91,88.51,88.65,89.38,88.59,90.44,48.12,80.953,67.12275,740150,2276338,1458080,1.077,82.33333,99,66,18,"hold",2.9,"2025-12-27 20:44:51",76.1600036621094,87.7099990844727,15.1654344366971,1.53169918634186,1471448.38709677,1.78823805379383,31,1.27355622227853,-0.399161416481232,-0.486881143777357,1.71657750240782,"NORMAL","OUTPERFORMING_MARKET"
"CMCSA","Comcast Corporation","Communication Services",109510844416,198370918400,4.9269104,7.149831,NA,1.1165067,0.8880866,1.609,5.216,0.24186,0.051069997,0.18333,0.71882004,0.17735,0.30844,-0.027,-0.042,-0.082,123310997504,38034001920,22606999552,88638996480,32881999872,4067249920,9324999680,99062996992,0.882,0.689,101.462,6.02,4.14835,26.565,2.559,4.45,1.32,0.2159,1768348800,1770163200,2.74,3634450130,3606908976,53525909,1.6,0.0148,0.00736,0.88948995,29.66,29.78,29.74,29.85,29.51,38.4,25.75,28.0614,32.4963,12115558,34000444,44481510,0.829,34.6875,46,29,24,"hold",2.55172,"2025-12-27 20:44:53",26.9799995422363,30.3199996948242,12.3795411758968,1.9574070254591,38665446.875,2.37616547655639,32,0.997843695189826,0.120277211197589,0.23172514218795,1.1738448718826,"NORMAL","OUTPERFORMING_MARKET"
"CME","CME Group Inc.","Financial Services",99788783616,100988280832,26.814924,23.754137,NA,3.532468,15.628138,15.816,22.471,0.13346,0.01601,0.58946997,1,0.63386,0.70383,-0.03,-0.004,-0.005,6385200128,4494099968,3716699904,6385200128,4161100032,2836375040,2569999872,3769499904,1.021,0.021,13.372,10.32,11.64976,78.339,7.127,1.81,5,1.0368,1765497600,1767052800,3.47,360596647,359031176,6158003,3.05,0.0171,0.00449,0.91885,276.73,276.38,276.38,277.635,276,290.79,224.62,272.6042,271.2935,541824,1892317,1737630,0.293,287.06668,320,209,15,"hold",2.66667,"2025-12-27 20:44:58",264.160003662109,273.739990234375,3.62658481202927,1.07418238864052,1965512.5,1.81169033521791,32,0.131586630521905,-0.957412582423588,-0.458216114389226,0.839400978928312,"NORMAL","OUTPERFORMING_MARKET"
"CMG","Chipotle Mexican Grill, Inc.","Consumer Cyclical",50698862592,53554176000,33.46018,31.131899,NA,15.55967,4.3011065,4.543,22.882,0.44958,0.13583,0.13036,0.40191,0.16134001,0.19856001,0.075,0.022,-0.014,11787400192,2340452096,1536593024,4737442816,2214852096,1142371328,1421273984,4980116992,1.542,1.415,154.574,1.13,1.21451,2.43,1.075,NA,NA,0,NA,NA,NA,1322278000,1313061722,32704417,1.65,0.0249,0.0059399996,0.90402,37.81,37.9,37.755,38.01,37.63,61.16,29.75,35.0766,44.41345,8447122,22345949,21989180,0.991,43.09091,55,34,33,"buy",1.69444,"2025-12-27 20:45:02",31.5100002288818,37,17.4230394517297,2.37352081175808,23379187.5,1.58139798485298,32,1.49698545146728,0.628009402743766,-0.739695637498323,2.18083797158833,"NORMAL","OUTPERFORMING_MARKET"
"CMI","Cummins Inc.","Industrials",71657381888,77777379328,26.88348,19.833544,NA,5.9397917,2.1338668,2.316,14.849,0.22767,0.079050004,0.079450004,0.2603,0.12132,0.15597999,-0.016,-0.341,-0.337,33581000704,5238000128,2.668e+09,8741000192,3508999936,1640249984,3159000064,8245000192,1.769,0.931,62.949,19.31,26.17384,87.397,22.885,1.54,8,0.38669997,1763683200,1764806400,2.39,138036253,137431654,1558500,1.61,0.012999999,0.00324,0.87299,519.12,517.6,517.6,520.12,516.2,526.5,260.02,473.752,381.52615,245635,925974,878720,1.104,534.2955,653,450,20,"buy",2.13043,"2025-12-27 20:45:07",437.709991455078,497.440002441406,13.646024114681,2.04999803645178,991815.625,2.14999637659469,32,1.12318417986676,0.233254570940753,-0.0447146540030624,1.26216879233867,"NORMAL","OUTPERFORMING_MARKET"
"CMS","CMS Energy Corporation","Utilities",21290211328,39796211712,20.161383,18.154264,NA,2.4639876,2.5666318,4.798,13.301,0.11233,0.03254,0.12622,0.42327,0.26174998,0.3607,0.16,0.092,0.095,8295000064,2.992e+09,1.037e+09,3511000064,2.16e+09,-1545124992,3.62e+08,18076999680,0.899,0.425,191.676,3.47,3.85364,28.393,1.19,3.1,2.17,0.6174,1762473600,1764115200,2.98,304319765,302353859,12024262,5.87,0.0448,0.00505,0.99097,69.96,70.11,70,70.18,69.72,76.45,63.97,72.739,72.06095,806375,2389866,2334170,0.471,78.38462,87,66,13,"buy",2.25,"2025-12-27 20:45:09",72.4899978637695,70.2600021362305,-3.07628058112216,0.978118580932756,2462300,2.78771879949641,32,-0.531778324009867,-1.07462736650836,0.734754586681217,1.43646930060466,"NORMAL","DOWN_WHILE_MARKET_UP"
"CNC","Centene Corporation","Healthcare",19911393280,18364393472,NA,14.007267,NA,0.95031434,0.118746385,0.11,4.706,-0.2186,0.020079998,-0.03155,0.11724,0.0054699997,0.02327,0.215,NA,NA,1.6768e+11,3902000128,-5289999872,19658000384,4.064e+09,4.424e+09,19236999168,17582999552,1.084,1.04,83.51,-10.67,2.89207,42.628,39.138,NA,NA,0,NA,NA,NA,491518000,489114477,12586601,1.71,0.0293,0.00449,0.96659,40.51,39.89,39.92,40.53,39.82,66.81,25.08,37.2914,43.07155,2139184,8897436,5717350,0.476,40.41176,70,32,17,"hold",2.8,"2025-12-27 20:45:14",34.5,38.8699989318848,12.6666635706806,2.93517555657613,8185865.625,2.57801690948231,32,1.02625944326011,1.31332722654181,0.478442173773422,1.92214414341773,"NORMAL","OUTPERFORMING_MARKET"
"CNP","CenterPoint Energy, Inc.","Utilities",24998328320,46663327744,24.234177,20.066978,NA,2.2654123,2.742849,5.12,13.597,0.09606,0.02901,0.11367,0.45139,0.2495,0.37655997,0.071,0.506,0.518,9114000384,3.432e+09,1.036e+09,4113999872,2600999936,-3115124992,6.38e+08,22303000576,0.513,0.336,202.111,1.58,1.90811,16.902,0.977,2.4,0.92,0.5506,1771459200,1773273600,2.51,652868273,649388485,36645312,7.85,0.0747,0.00448,1.0129,38.29,38.2,38.2,38.315,38.115,40.5,30.59,38.9752,37.79085,1233801,4960320,5021730,0.558,42.3125,49,36,16,"buy",2.23529,"2025-12-27 20:45:17",38.4199981689453,38.310001373291,-0.286300887289492,0.851637560304144,4650078.125,1.74076645217654,32,-0.255661373394257,-1.2289565137446,-0.544904277256535,1.14259176889482,"NORMAL","DOWN_WHILE_MARKET_UP"
"COF","Capital One Financial Corporation","Financial Services",159444467712,161489108992,85.38356,11.962987,NA,1.4621074,5.5197835,5.591,NA,0.01615,0.0024899999,0.04899,0,0.38719,0,0.679,0.095,0.796,28885999616,NA,1151000064,28885999616,22335000576,NA,56923000832,54504001536,NA,NA,NA,2.92,20.84095,170.521,89.539,1.28,3.2,0.8219,1763337600,1764547200,1.59,635733605,623050720,9500495,2.33,0.015,0.01811,0.87674004,249.32,248.27,247.67,249.69,247.67,249.73,143.22,223.681,206.8153,1021465,3805371,3024190,1.166,266.57144,308,210,21,"buy",1.69565,"2025-12-27 20:45:19",221.699996948242,239.5,8.02886932646805,1.58566799816286,3851059.375,1.84434964729673,32,0.567269147694398,-0.333309949879423,-0.418297603963467,0.943072924615843,"NORMAL","OUTPERFORMING_MARKET"
